,customer_state,order_purchase_timestamp,order_id
0,AC,2018-04-22,1
1,AC,2018-04-29,1
2,AC,2018-05-06,1
3,AC,2018-06-03,1
4,AC,2018-06-17,1
5,AC,2018-07-01,2
6,AC,2018-07-29,4
7,AC,2018-08-12,2
8,AC,2018-08-26,1
9,AL,2018-04-22,9
10,AL,2018-04-29,6
11,AL,2018-05-06,4
12,AL,2018-05-13,8
13,AL,2018-05-20,3
14,AL,2018-05-27,2
15,AL,2018-06-03,7
16,AL,2018-06-10,5
17,AL,2018-06-17,6
18,AL,2018-06-24,3
19,AL,2018-07-01,6
20,AL,2018-07-08,5
21,AL,2018-07-15,6
22,AL,2018-07-22,9
23,AL,2018-07-29,2
24,AL,2018-08-05,6
25,AL,2018-08-12,10
26,AL,2018-08-19,1
27,AM,2018-04-29,1
28,AM,2018-05-06,4
29,AM,2018-05-13,2
30,AM,2018-05-20,2
31,AM,2018-06-03,2
32,AM,2018-06-10,4
33,AM,2018-06-17,1
34,AM,2018-06-24,1
35,AM,2018-07-01,2
36,AM,2018-07-08,1
37,AM,2018-07-15,4
38,AM,2018-07-22,4
39,AM,2018-07-29,7
40,AM,2018-08-05,3
41,AM,2018-08-19,1
42,AP,2018-05-06,1
43,AP,2018-05-13,3
44,AP,2018-05-20,1
45,AP,2018-06-03,1
46,AP,2018-06-10,1
47,AP,2018-07-01,1
48,AP,2018-07-08,2
49,AP,2018-07-15,4
50,AP,2018-08-12,1
51,AP,2018-08-19,1
52,BA,2018-04-22,32
53,BA,2018-04-29,60
54,BA,2018-05-06,82
55,BA,2018-05-13,72
56,BA,2018-05-20,47
57,BA,2018-05-27,19
58,BA,2018-06-03,52
59,BA,2018-06-10,52
60,BA,2018-06-17,52
61,BA,2018-06-24,37
62,BA,2018-07-01,44
63,BA,2018-07-08,34
64,BA,2018-07-15,52
65,BA,2018-07-22,62
66,BA,2018-07-29,78
67,BA,2018-08-05,68
68,BA,2018-08-12,63
69,BA,2018-08-19,43
70,BA,2018-08-26,10
71,CE,2018-04-22,22
72,CE,2018-04-29,19
73,CE,2018-05-06,25
74,CE,2018-05-13,31
75,CE,2018-05-20,14
76,CE,2018-05-27,4
77,CE,2018-06-03,15
78,CE,2018-06-10,11
79,CE,2018-06-17,14
80,CE,2018-06-24,18
81,CE,2018-07-01,20
82,CE,2018-07-08,23
83,CE,2018-07-15,22
84,CE,2018-07-22,12
85,CE,2018-07-29,26
86,CE,2018-08-05,21
87,CE,2018-08-12,26
88,CE,2018-08-19,10
89,CE,2018-08-26,3
90,CE,2018-09-02,1
91,DF,2018-04-22,33
92,DF,2018-04-29,35
93,DF,2018-05-06,35
94,DF,2018-05-13,44
95,DF,2018-05-20,43
96,DF,2018-05-27,15
97,DF,2018-06-03,27
98,DF,2018-06-10,24
99,DF,2018-06-17,43
100,DF,2018-06-24,38
101,DF,2018-07-01,31
102,DF,2018-07-08,26
103,DF,2018-07-15,28
104,DF,2018-07-22,44
105,DF,2018-07-29,52
106,DF,2018-08-05,48
107,DF,2018-08-12,47
108,DF,2018-08-19,43
109,DF,2018-08-26,20
110,DF,2018-09-02,1
